

==================================================
BẮT ĐẦU CHẠY THÍ NGHIỆM GAT - 2026-03-10 09:48:42.923119
==================================================

[GAT - 1. MSP (No - No - No)] - cora (structure)
Namespace(dataset='cora', ood_type='structure', data_dir='../../data/', device=0, cpu=False, seed=123, train_prop=0.1, valid_prop=0.1, runs=1, epochs=200, method='msp', backbone='gat', hidden_channels=64, num_layers=2, gat_heads=8, out_heads=1, hops=2, T=1.0, use_reg=False, lamda=1.0, m_in=-5, m_out=-1, use_prop=False, K=2, alpha=0.5, noise=0.0, weight_decay=0.01, dropout=0.0, lr=0.01, use_bn=False, display_step=1, cached=False, print_prop=False, print_args=False, mode='detect', use_occ=False, beta=1.0, nu=0.01)
ind dataset cora: all nodes 2708 | centered nodes 2708 | edges 10556 | classes 7 | feats 1433
ood tr dataset cora: all nodes 2708 | centered nodes 2708 | edges 6680
ood te dataset cora: all nodes 2708 | centered nodes 2708 | edges 6696
MODEL: MSP(
  (encoder): GAT(
    (convs): ModuleList(
      (0): GATConv(1433, 64, heads=2)
      (1): GATConv(128, 7, heads=1)
    )
    (bns): ModuleList(
      (0): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
  )
)
Epoch: 58, Loss: 1.9457, AUROC: 52.26%, AUPR: 31.40%, FPR95: 97.05%, Test Score: 20.30%
Epoch: 59, Loss: 1.9457, AUROC: 57.73%, AUPR: 34.54%, FPR95: 90.21%, Test Score: 31.00%
Epoch: 60, Loss: 1.9457, AUROC: 54.94%, AUPR: 37.15%, FPR95: 97.60%, Test Score: 39.00%
Epoch: 61, Loss: 1.9458, AUROC: 50.83%, AUPR: 34.47%, FPR95: 98.12%, Test Score: 34.60%
Epoch: 62, Loss: 1.9458, AUROC: 50.11%, AUPR: 33.22%, FPR95: 98.38%, Test Score: 33.80%
Epoch: 63, Loss: 1.9458, AUROC: 51.74%, AUPR: 33.32%, FPR95: 98.45%, Test Score: 11.10%
Epoch: 64, Loss: 1.9458, AUROC: 51.57%, AUPR: 33.14%, FPR95: 98.45%, Test Score: 9.90%
Epoch: 65, Loss: 1.9458, AUROC: 51.54%, AUPR: 33.14%, FPR95: 98.56%, Test Score: 9.70%
Epoch: 66, Loss: 1.9458, AUROC: 51.85%, AUPR: 33.16%, FPR95: 98.08%, Test Score: 10.80%
Epoch: 67, Loss: 1.9458, AUROC: 59.78%, AUPR: 36.02%, FPR95: 94.72%, Test Score: 20.20%
Epoch: 68, Loss: 1.9458, AUROC: 62.10%, AUPR: 37.90%, FPR95: 95.57%, Test Score: 29.20%
Epoch: 69, Loss: 1.9458, AUROC: 45.32%, AUPR: 29.22%, FPR95: 98.63%, Test Score: 20.30%
Epoch: 70, Loss: 1.9459, AUROC: 45.53%, AUPR: 29.27%, FPR95: 97.30%, Test Score: 14.80%
Epoch: 71, Loss: 1.9459, AUROC: 45.65%, AUPR: 29.30%, FPR95: 97.45%, Test Score: 15.30%
Epoch: 72, Loss: 1.9459, AUROC: 45.68%, AUPR: 29.30%, FPR95: 97.71%, Test Score: 15.50%
Epoch: 73, Loss: 1.9459, AUROC: 45.76%, AUPR: 29.33%, FPR95: 97.90%, Test Score: 15.30%
Epoch: 74, Loss: 1.9459, AUROC: 45.76%, AUPR: 29.34%, FPR95: 97.82%, Test Score: 14.70%
Epoch: 75, Loss: 1.9459, AUROC: 58.95%, AUPR: 37.75%, FPR95: 98.15%, Test Score: 19.20%
Epoch: 76, Loss: 1.9459, AUROC: 51.82%, AUPR: 33.83%, FPR95: 98.26%, Test Score: 6.70%
Epoch: 77, Loss: 1.9459, AUROC: 51.84%, AUPR: 34.08%, FPR95: 98.26%, Test Score: 6.40%
Epoch: 78, Loss: 1.9459, AUROC: 51.75%, AUPR: 34.05%, FPR95: 98.30%, Test Score: 6.40%
